Username,Review,Ratting,1st Analysis
SueCque,"I ordered this for my grandsone who is an avid gamer. This game is full of action. The grapics are great. In his words ""it rocks""...guess that is a good thing. He gives it 5 stars.",5,1
arrR,Awesome game back when I had my xbox360!,5,1
Denise,Love it!,5,1
SahilTheGreat,good game that is scratch free even though it is used. i recommend getting it since it is so cheap in price. only downfall is that it doesnt come in the actual game case,5,1
Lake K,Great game. Sadly not backwards compatible for me.,5,1
george acevedo,Grate game on line,5,1
Jennifer Lawyer,He loved it,5,1
Happy,Very happy with quality,5,1
Chris,Claimed to be “new” but was very obviously resealed.,1,0
Michael,the action is more constant here. It feels like the programming was designed to keep you from camping in 1 spot too long. Lots of explosive fun.,4,1
Trevor,"If i could give one star i would. I ordered this copy specifically because it said it came with the first dlc it says nothing about dlc on the outside of the box and i dont want to open it and look inside, and have them tell me i cant return it because of it being open",1,0
Casadiego gerardo JOSE,Good,5,1
Daniel Foster,Not worth it. Doesn't even play.,1,0
L Jones,"Good game. Kind of short. Beat this game in 2 days, but still has some online areas to do.",4,1
Ulf Sanden,The seller delivered a non working game. On inspection several visible scratches on the disk and the game does not work. Pissed off.,1,0
Bry,Disc Came unreadable,1,0
Jennifer Frier,didn't even have modern warfare 2 in it it had guitar hero 3,1,0
Km,Great game..,5,1
Gary Busey,Didn’t come with case like shown in picture,1,0
cbenteixedwbrnfjv Ramirezxmzszemeds exec ffv,I open the case and the center of it was broken,1,0
Paul Smith,Disk could not be read or played 😞,1,0
Patty K,"I LOVE first-person shooters. However I have always been much more of a “Halo guy” than a “CoD guy.” The online multiplayer for Halo has always been more fun for me because I feel skill wins out more often than not in games like Halo than in CoD. When you have a shield and a lesser talented player gets the drop on you you can still recover. In games like CoD where there is no shield I feel like it’s much easier for a player with lesser skill to “camp” and that strategy to be more effective. All that being said, where CoD has always had the edge is in the Solo Campaigns; espically in World War or Black Ops CoD games. However I have never found the Modern Warfare games to be very much fun, so this game slipped through the cracks despite the fact I heard very good things regarding its gameplay. Therefore when it recently became Backwards Compatiable on my Xbox One I decided to finally give it a try.

The first thing that jumped out to me was the fact that, despite being almost 10 years old, the game holds up as far as the graphics are concerned. Other than a few frame rate issues (which may have been my monitor) you could have told me it came out last year and I couldn’t have argued with you. In comparison, I’m currently playing through Mass Effect (released two years prior to CoD MW2) and, even though ME doesn’t look bad at all, there is a noticeable difference between the two games. I know a lot of progress can be made in two years, but it just goes to show you how much effort went into making this game look beautiful. That being said, the story left much to be desired (see my CT above). It wasn’t just the fact that you can play the entire story in an afternoon, but also the story itself is pretty ridiculous. You really have to shut your brain off to really enjoy it fully. Don’t get me wrong, the story had some really fun moments, but it felt like the developers started to work on the story by building a few memorable moments. Then they stitched the rest of the story around those moments. It made the story feel like “empty calories.”

In conclusion, Call of Duty: Modern Warfare 2 definately holds up graphically, but the story, despite having several really fun/memorable moments, leaves much to be desired.",4,1
Amazon Customer,It came in and didn’t even work,1,0
Michael A.,"My favorite multiplayer game of all time. Perhaps my favorite game of all time, period. I hope they come out with a remastered version, WITH MULTIPLAYER, not just the story (as is rumored so far).",5,1
Jshopper,Nough said,5,1
Dayana G,"BACKWARDS COMPATIBLE WITH XBONE!!

BUY IT NOW SCRUB!!!",5,1
Whitney S,Best COD ever. 10/10.,5,1
dention n.,I purchased new got sent a used one and it wont stop freezing. My personal opinion not worth wasting your money on.,1,0
Lady Raven RAVE!,The first modern warfare will stay number one in my game collection. But 2 is still a good game campaign and online still is fun for me love playing it still very enjoyable,4,1
LaraCraft,I think I paid $2 free shipping for this in 2011. Disc worked perfectly,5,1
Maria,Good,5,1
Dan,"Game arrived promptly, well packaged and is as advertised. This was a gift and receiving party is very content with this game.",5,1
Amazon Customer,it came great but no case just disk,5,1
pcoats,As Expected,5,1
Katie,Great gift,5,1
Hisham,"Amazing game. Although the multiplayer is pretty difficult for me, (I'm a noob) I enjoyed it very much. Spec Ops is a great co-operative mode to play with friends and can get intensely joyful. The campaign is the best part about this work of art. It offers relatable characters, a surprising plot, fun and unrepetitive missions and an addictive bonus level. The only parts I disliked about this game was the Rio missions and some of the crappy maps. Other than that, this is a 95% masterpiece.",5,1
Michael,I know the disk was used but when it arrived it head broken completely there was a big circle scratch around the whole disk this happens when you pick you Xbox up or move it during gameplay and I did not do it I have requested a refund,1,0
matt,"The case was great, the disk label was great, the disk itself had serious, deep, radial scratching around the center for about 1/4"", it was so bad my xbox only prompted me to open the tray, it wasn't even picking up the damn thing.",1,0
Christine Corbett,Received it in a reasonable amount of time,5,1
Amazon Customer,Works well in the original package,5,1
Matias,A classic game,5,1
Amazon Customer,Amazing game! Completely satisfied! Thank-you so much!,5,1
Jim Addley,"I give this a 5 star-its an excellent game. It has fantastic missions and has very unique online multiplayer maps!. I can play this game online for hours- not a boring map in this game. If your a fan of first person shooters, I highly recommend this game!",5,1
Amazon Customer,Game wasn't readable after 1st mission. Disk had a big scratch in it even thou it was said to be in very good condition.,1,0
FaustRegal,"In perfect nick. No scratches, no damage to the case.",5,1
Amazon Customer,It came earlier than was scheduled! Great (Y),3,1
cprice,Perfect condition!,5,1
David Freeburn,Very Good,5,1
jodie campeau,Trash... disc unreadable said VERY GOOD CONDITION...,1,0
Amazon Customer,Sent the ps3 version in the Xbox case. Don’t waste your time,1,0
Samuel,Colis reçu mais ne peut pas l'utiliser car endommagé.,1,0
Kacey420,Disk unreadable,2,0
Jez Thorpe,My only problem with this game is the short missions which seems to break up the play. Otherwise it's a great game with excellent graphics and storyline.,4,1
Linda,Very satisfied,5,1
Choronzon,"The game plays almost all the way through, it gets stuck on the mission, Whiskey Hotel. Other than that it is an AWESOME game.",4,1
KIRALY,He was very happy from the feedback we received. He loves video games and this is a very popular series for him.,4,1
Eric,"You know you want it. Excellent single-player, much improved single player campaign and the co-op missions are incredible amounts of fun. Buy this game, it's great!",5,1
Alexander Kargovski,Game received broken with tape on centre around hole hiding crack and chipped areas. Did not work at all.,1,0
S,"Working great, like brand new!",5,1
William A. Bolduc,Ok but no better than the first one,3,0
Will,"Fantastic game, came in perfect condition. One of the greatest Call of Duty games ever made. Would highly recommend.",5,1
Amazon Customer,"The game is great works perfect, the case could look a little better but ether way it's amazing",5,1
rebecca,"I love this game and was very upset when my old copy went missing, so i instinctively went searching for a new, and found this for like 7 bucks!",5,1
maryse tremblay,un tres beau jeu,5,1
RICO DA DILLA,This game is awesome. Well worth the money. Graphics are amazing and the story line is good. I spend hours online and will probably keep on spending more. I totally stop playing world at war and cod 4 mw1 when this came out. The difference is night and day.,5,1
Ty Terpsma,It was a bit of a wait but nothing major the game came with alittle bit of a rip on the cover but that could have been from shipping so all and all 4/5 stars,4,1
JL,great!!!!,5,1
Angela S,Thank you,4,1
Christophe Poirier,"Modern Warfare 2, only one word: Amazing! The live is really stupid, the campaign is incredible, really magical, long live this game.",5,1
Denise Lane,really fast shipping and a really good gift,5,1
will,"It worked for a day then, the disc was ""unreadable""",1,0
Mat,Excellent jeu !,5,1
Peter Learn,Okay,4,1
cecil j spracklin,Works perfectly. Was here in 2 days.,5,1
Adam,"Great game, good shipper.",4,1
mega,"Got a lot of mileage out of this game, enjoyed playing the campaign mode as well as online. Never played another COD but this one I enjoyed.",5,1
anonymousS,Love this game! But the map pack download didn't work?!,3,0
monica,this was a great game the package was well done definitely recommend it.no time at all it was at my door,5,1
Marc-Olivier PéPin,"No waiting + Great Quality, Get it from Cosmo planet for good quality",5,1
Amazon Customer,Love it！,5,1
Felix ladouceur,Good,5,1
Maxime malenfant,Goodd,5,1
Step,"The pros and cons of this game are divided, but I would like to write it while comparing it with the previous CoD4.

First, campaign mode. I don't understand English, so I don't know the story at all.
I played with the intention of enjoying the atmosphere to the last. I was shocked by the cinematic and overwhelming sense of realism of the previous film, but I
think the production is even more amazing in this film. However, the realism of the previous film has faded, the battlefield has become lively, and it has become more cinematic.
It was a shame that even if you collected the laptops that were in the previous game, they were only involved in unlocking achievements, and that the enemy AI seemed a bit unnatural.

Next, Special Ops, a new element. This is a mission that is played by 1 or 2 people. The number of missions is 23.
When two people cooperate, each can choose a different level of difficulty, so I think both experienced people and beginners can enjoy playing.
I completed the campaign mode at the highest difficulty level, but I found this one at the highest difficulty level to be more difficult.
After all, it would be more fun to play with friends, and I think it would be easier to capture.

And online matches. Honestly, it's very difficult to evaluate at the moment.
Since the previous game, CoD4, had a godly balance, there were a lot of expectations, but I have to say that balance is out of balance.

First, the organization of the map. The map has become much wider, and the difference in elevation has increased. As a result, as other people have reviewed, the camp is strong.
Furthermore, the balance of weapons has also changed drastically, and coupled with the map configuration, assault rifles stand out in particular.
The reason most people use an assault rifle as their primary weapon is because they are so versatile and preferential that there is no need to choose another weapon.
You can easily beat a submachine gun even at close range, and there is virtually no distance where a submachine gun is strong.

In addition, since weapons such as machine pistols and shotguns can be carried as secondary weapons, there is almost no advantage of using a submachine gun as the main weapon, and the
main one emphasizes long distances It is now possible to use it properly with weapons. The
results are more conducive to camping, such as camping using strong weapons at long distances and intercepting enemies with a shotgun when they approach. In particular, the performance of shotguns has improved considerably, submachine guns have an unnecessary firing range, and since they
are easy and effective to use with main weapons, there are so many users.

Also, as far as I can think of, there are two other factors that make camping stronger.
One is feeling that your physical strength is low. I tried CoD4 and compared them, but obviously, it can be hit as soon as it's hit.
Even though the number of high-power weapons has increased, it doesn't seem like that's all. I think it's probably because the bullet hits easily as the hit detection gets bigger.
As you can see when using an assault rifle in particular, there are times when the enemy is hit by a bullet even if the aim is not right.
The other is the bounce when hit. When hit, the viewpoint jumps up greatly, and the aim is blocked.
When it comes to shooting each other, if you can get the first move, you can interfere with your opponent's aim and attack unilaterally. There are no more shootouts like CoD4.
I think that's why there are so many camps where it's easy to get ahead

There is a lag associated with online matches, but on the other hand, I feel that it has decreased compared to the previous game, but I feel that it has become more troublesome.
As mentioned above, this game was done right away, making it difficult to shoot each other. There are many things you can't do if you get ahead due to lag.
There are ways to cover this with fighting, but there are also phenomena that don't work as a game.

It was done when I was about to reach a corner, so when I looked at the kill camera wondering where it was shot from, I saw
that it was hit by an enemy at the end of the corner that hadn't even turned yet Turns out. There was a figure of me running out of the corner and jumping out.
Other than that, even if it was supposed to be done from the front, there were times when there were no enemies on the screen, stabbed with a knife by an enemy who turned their back here, or
if they were running against an empty wall, suddenly An enemy slowly emerges like a ghost, and even an inexplicable thing happens, such as being killed by that enemy.
None of these are events that did not occur in the previous game.

Apparently there are different types of lag, and there are many that come out with a delay in hit detection, but in some cases the enemy's physical strength has improved markedly, and
no matter how much you shoot, hit detection at all There are times when it doesn't come out. There's no way to beat it even if you shoot it from directly behind.
If you don't prepare for this kind of thing to happen, you'll feel uncomfortable.

So far, there have been bad reviews about this game, but what I really want to complain about is some of the players.

The game currently has bugs that still remain even when a fix patch comes in. Too many players make use of them.
I want people to know more about the fact that using that bug can greatly benefit and make other players uncomfortable.

Also, even if it's not a bug, there are things that take away the original enjoyment of this game by making specific combinations.
Combinations where you can shoot an infinite number of grenade launchers are prime examples of this. It's not a foul play, it's easy to win.
It's very annoying for serious players, and there are too many people who use it easily even though each person should put their own weight on it.

I don't know if I want to win or if I want to harass them, but I want them to value being a little more attentive to their surroundings.
With this, new entrants and people who want to have fun in a fair and dignified manner will move away.

You can see that the developers are also trying to keep players entertained. There are also things that have collapsed as a result.
However, you wouldn't have thought that the value of this game would be tainted by some players who take advantage of minor shortcomings and run complacent.
I strongly hope that you will come into contact with the possibilities of “Modern Warfare 2.”

Excuse me for the long and random sentences.",4,1
ATIKAS,"About
a week after the online match arrived, I was frustrated by the amount of “waiting” as other reviews say.
However, if you think about it carefully, isn't it a wrong act to proceed carefully on an unfamiliar MAP?
Anyone wouldn't want to mass produce Death numbers.
If you think so, you'll be a little more lenient about “waiting”...?
Also, it's been about 3 weeks since it went on sale.
“Waiting” has decreased a lot since the beginning.
I think the ratio is about the same as COD4.
I only feel that the “waiting” I'm meeting now is for Asians, including Japanese people, or people who aren't used to low-level MAPs.

I can say it's more interesting than COD4.
◆ Everyone watched the replay of Last Kill.
In the replay of Kaisin's play, there is a growling voice regardless of whether they are enemies or allies.
It would feel pretty good if that were me!
◆ Unlock TITLE/EMBREM by completing the challenge CALLSIGN (TITLE/EMBREM) displayed when you
defeat it, when you are defeated, or when you perform a special action Customize it to your own way!
◆ Tons of Kill Streak bonuses to
customize your own playstyle and balance with your friends!
◆Countermeasure against it The Kill Streak bonus, which
looks powerful, also has a way to counter it, and if you prepare well, there are no musou with bonuses.
◆The power of the flag has been reduced.
The snowball fight has disappeared.

What I like the most is that supportive actions are also appreciated.
Hold a shield to prevent enemy bullets, and if an ally fights back from behind, even if you prevent it, it won't affect your team score, but you'll get points, and if you drop an enemy UAV or aircraft weapon, you'll get a solid CALLSIGN It's displayed and so on.

It's evolved from COD4, and I think it's getting more interesting.

However, if you are starting with the Japanese version, it may take some time to get used to it due to the disparity of weapons depending on the level...",4,1
User 1000,"Bought it for XBOX 360 -

100% Authentic.",5,1
shusuke,"This is the North American edition.
This is a comparison impression with COD4. I'm currently playing on CRT TVs, and I've never felt that I'm at a disadvantage in my battle record.

I had heard that the map had become larger overall, but personally I didn't feel that much of a difference. I was imagining something so large, so maybe I thought so. However, there are certainly quite a few differences in elevation. Overall, COD4 is simple, and there's an image that it's messy here. So until I got used to it, I didn't know where the enemy was aiming and I was worried.

Regarding the indication that there are more campers compared to COD4.
Campers just ambush enemies in certain places, but I felt that there were certainly a lot of them compared to COD4.
However, I feel that this is mostly due to the “game winning kill,” a function introduced in this game where you can see the kill camera of players who have reached the score limit in deathmatch etc., and decide the game Maybe it is.
Depending on the rules of the game, it is played at the end of every match, so I think that impression becomes stronger. It slowly replays the few seconds just before the kill, so it may seem as if you were camping there even though you just came a few seconds ago.

Since I had looked at the reviews beforehand, I had the image that it was difficult to walk around the map because it was full of campers and it was difficult to find enemies, but I can walk there normally.
There are many places to hide, so I think there are some situations where you have to camp rather than walk around poorly.
I'm the type who can't wait, so I run around quite boldly, but I've never felt that campers were a threat.
However, I think it will be difficult at first for those who are unfamiliar with FPS.

Another thing you'll notice right away is a decrease in physical strength.
It was pointed out in other reviews, but I was wondering if it was because of my mind. However, they are actually killed in battle soon after. I noticed this right away. What was done with “Papa Papa Papa Papa Papa Papa” in COD4 is the feeling of being played with “Papa Papa Papa Papa” in this game. Personally, I try to think that being real is fine, but it still bothers me from time to time.
After that, my score has increased by one digit. So when I look at match bonuses, etc., I think they worked really hard.

There are also elements that have become interesting.
Killstreaks have increased, and it's also good to be able to choose your own.
It might be different for each person though. I didn't like it because I felt that it was too complicated at first.
I also had the view that the balance was unbalanced, such as combining a grenade launcher with an ammo refill park, but if you raise your arm, you won't feel threatened by anything, so recently I'm starting to find it very interesting.

I think the ratings are divided.
The impression is different from COD4. The opinion that the game balance was broken is also understandable.

I didn't expect to see the reviews either, so I tried to summarize them with positive reviews before people thinking about buying didn't like buying them.

It's a matter of feeling, and I think every review will be helpful.",4,1
ルドルフ748,"I bought the North American version about 2 weeks before the release of the
Japanese version, and later I also bought the Japanese version.

First, I will state the noticeable advantages and disadvantages of each as an individual opinion
< Advantages >
North American version: There are no lies that liven up the atmosphere, such as mistranslations, and it makes you feel like you've entered the world of movies.

Japanese version: Even with mistranslations, the story is easier to understand than the overseas version. The situation is easy to understand (both campaigns and online) because they say supplementary lines that don't include subtitles during the game in Japanese for the time being.
It's easy even for beginners to get started.

＜Disadvantages＞
North American Edition: It's hard to understand the situation. I don't know what you're saying. Therefore, the story often becomes “why did that happen”... You don't know until you imagine an explanation of the weapon on or look it up on the site.
The above has nothing to do with fluent English speakers.

Japan version: Because I made it all Japanese translations (dubbed and subtitles for some reason) the Japanese translation of a Western movie looks like Friday Road Show → it's a mess of realism
and there are so many mistranslations . That's too much. “No Russian.” at the airport = “Kill me. I burst out laughing when I heard “I'm Russian.” Correctly,
not only in the “Don't Speak Russian” story, but also on the weapon settings screen that's on, there's a sense of discomfort in some places... It's disgusting because I'm going out of my way to put the kanji for okay in katakana notation,,, the
rank of the soldier in the story has been changed without permission. I have

some personal feelings (no hindrance), but since it's a personal opinion...
However, as a result, I thought the Japanese version would be easier to do.
I thought even when it was on.
For example, even if you hear “point A
will be taken” in Japanese, it's easy to respond quickly, but when it's said in English, I often listened to it.
However, after all, the atmosphere was a Friday road show. I'll get used to it in a few days.

＜Impressions of Multiplay＞
As for the game itself, the settings are a bit more detailed and complicated than CoD4, so I wonder if likes and dislikes can be divided...
It's easier to die compared to 4 because likes and dislikes can also be divided. very much.
There are also challenging elements such as split screens, ranks, weapon settings, etc.
Personally, I was very satisfied.

＜Campaign Impressions＞
CoD Supreme Easiest Win...?
I cleared veterans due to performance issues, but I often didn't get shot “more than I expected.” Was it
simply set up so that everyone would receive it (it must not be easy, but in the sense of “better than expected”)?

I've written long sentences above, but what bothers me in the end is the Japanese version that is easy to understand even if you put up with
mistranslation and full dubbing
・The North American version with an emphasis on atmosphere
Right. I highly

recommend this software for each person anyway. If you're an FPS person, you should definitely buy one. On population over 3 million people (XBOX360)",5,1
amrit rathore,I played all cod on my laptop. This is my first game on console and the experience is amazing...,4,1
Xperia-GX,"I think the image quality is better than the PS3 version.Basically the box version is suitable for this kind of game, but the lag is terrible.",4,1
あんこ,"I bought the Japanese version about 10 years ago, but no longer matches online about a couple of years ago.Since the Japanese version and the other online version are different, I bought here for a trial and I could play online without problems.",5,1
5kakukun,My son seems to have fun.It seems like a series thing and I like it.,5,1
Sidhartha,One must kill himself if he owns an xbox and he hasn't played this game evrything is simply awesome!!,5,1
danke,"I just cleared Offline with normal difficulty.

It was quite criticized that offline was short, both domestically and internationally, so I didn't expect much off play.
When I actually tried it, I certainly felt that each mission was short and unsatisfactory.
But the production and things in the map have been created, and it's true that it's a monumental FPS COD!! The quality is high!! I groaned while looking at the screen lol I would
personally be happy if they released this quality in 2 years.

The music is here too! At that time, it really livens up the story without being too flashy, and it attracts players.

Also, I thought after playing Airport Assault Missions, which are still regulated in the Japanese version, or unannounced and unclear, but I feel that they have an important meaning in the story There may not be any deletions. If you shoot civilians like the German version, the game might be over. Even in the North American version, during the first NEW GAME, there are missions that may offend you, so you can decide whether to skip them or not.

When damaged, the screen becomes quite difficult to see due to blood splashes, too much blood skips, is it subject to regulation? It's about a rumor, but it's been whispered.
Personally, I feel like if you regulate this to suppress blood splashes, you'll have a slight advantage over people who aren't regulated when playing online, so I wonder why.

I'll try playing online tomorrow, where the pros and cons are divided!",4,1
たろう,"A
number of complaints about the previous CoD4 sequel, which sold 14 million copies worldwide, have been fixed, but the fun has also been lost.

First, hit detection was transferred to the client side, making it easier to defeat enemies. However, in other words, it became easier to be defeated, so the bargaining at the time of the encounter was lost. The shootout ends unexpectedly.
Next, the map became larger and more complicated, but the map was not made as much as the previous game, and since there are many open places and straight lines, it has become a sniper heaven. The aforementioned winning judgment and the abolition of the Juggernaut, which was unpopular in the previous game, are also spurring.
Sniper is a powerful unit that can kill an enemy from a long distance, so it should be balanced by limiting the open space and neutralizing it due to smoke, etc., but in this game, that balance is remarkable It's been badly damaged.
Also, the fun of handling a shotgun is fighting until you get close to an enemy, but in this game, the range has been extended, and the fun of fighting has diminished due to the performance of a certain shotgun.
Other than that, there are various things such as HBS, flags, wall removal, etc., but I doubt whether this work did not have enough adjustment period to make it in time for release, or if it was made without understanding the fun of the previous work.

I wrote only complaints about ON, but it's not bad for a game at all.
However, it is better to stop expecting it as a sequel to CoD4.",4,1
Tanvir saini,Received in good quality..good game,4,1
東京少年,"I wrote a review before, but I decided to rewrite it. I'll write about ON. It's just personal, but my LV goes up quickly. Along with that, park (park challenge) weapons, camouflage, and equipment (far more than 4!!!!) For example, playing with M4 (initial weapon) feels like 20 lv or more (2 or 3 hours) in 2 days. However, I wonder if it's a troubled park, and if you aim for this park challenge, there are quite a few kills (does it depend on it?) Decrease. So of course, if you're not good at LV, it feels like it takes close to double.
Incidentally, M4's Marksman (equipment) dot (hollow sight) silencer (sensor) grenade (master key).. The same goes for Park Challenge, such as ACOG, Thermal, and Feeling (Relevance) the weapon and equipment to take this weapon... If you don't kill with a fixed park, it won't count towards your challenge kills.
As usual, everyone (almost none before pounding like 4) is a camper. If you can earn points with that, don't you dare to make 4 and MW2 different types of games (on)?? 4 and MW2 are so different that it seems so (MW2 stealth game??) There are always maps that are medium to large, high and low, and small (don't let me do that) (camper) if everyone is in a place suitable for campers, that's better (on the scene!!) but in Afghanistan?? I personally don't understand. Then play stealth games. Isn't that a team deathmatch? If it's a role, I can understand it at all.. (No players hit), so I'm not happy with consecutive kills with that. I'll choose the one with 7 consecutive kills on the bloody screen. I've been playing with it for 2 years if it's COD... I want something to change when the Japanese version comes out (expectations!!!!!) 1 week. Camper hunting isn't bad either. The values are different, so on is the relationship of 4, none of which is just right (for people from now on) I like both 4 and MW2. So let's keep going for 4 too! Good graphics!! The gunfire is real. The sound difference between M4 (5.56 mm) SCAR (7.62 mm) and Assault is quite realistic! I can tell the difference just by listening to Barrett and EBR like Sniper. (By the way, the MW2 can also have a sniper with a silencer) It's pretty cool! BARRETT is probably the sound of the example. The Marksman Challenge (put on the silencer) hurts.",4,1
SIX,"When MW1 and MW2 came out and it was depopulated, what was
this camper, fixed point shooting.
It's as large as a BF, and there are too many places to hide in, and it's hard to do clearing
.
It's easier to defeat than the previous game, and it's easier to be defeated, because
it seems like you're in a minus hardcore mode, and you die unexpectedly. Therefore, when they move, they are shot by enemies who are camping and die soon after they hide.
Camping is an advantageous map, it's boring to always aim at the same place until each other moves out of control, or because of balance, and the camp ends with time running out without moving each other That there are a lot of games.
There is a feeling that the killstreak was overdone. Even in the previous game, helicopters and air strikes alone were quite a threat, but it
has fallen into a game where the goal is to just hang up and trigger a killstreak.
Wide and complex maps, rich killstreaks, and a large number of weapons.
Even though each one was delicious, it became a subtle taste when I filled in all the user's requests. I get such an impression.",3,0
a2694,"Campaigns and online matches are all fun.
It's really interesting to team up with Fure and do it together.

Also, special ops were newly added, and coop was made on top of that, and this was also addictive.
However, the setting that this can only be done with friends seemed pretty disappointing.

The playtime elements were also well made and I enjoyed it for a long time.
It makes me happy when weapons are unlocked little by little.
However, weapons that have been unlocked are never strong; rather, weapons that can be used in the early stages are more stable.
I think this is an easy setting for beginners to stick with.

But for some reason I liked the previous CD4 better, and now I'm completely back on CD4.

Is it because the map has become too wide?... It might be.",5,1
SU-拝者,"The Japanese dubbed version has a very bad reputation, so I bought this one. What are they saying? What kind of things are displayed on the screen? Most likely, I don't have much time to read subtitles while playing, so I can clear them even if I don't understand them at all. The next game doesn't need to be dubbed, so I'd like to try playing a game with Japanese subtitles.",4,1
anindya,"good product,nicely packaged,recommended.",5,1
